연도,시도,지체장애_남,지체장애_여,시각장애_남,시각장애_여,청각장애_남,청각장애_여,언어장애_남,언어장애_여,지적장애_남,지적장애_여,뇌병변장애_남,뇌병변장애_여,자폐성장애_남,자폐성장애_여,정신장애_남,정신장애_여,신장장애_남,신장장애_여,심장장애_남,심장장애_여,호흡기장애_남,호흡기장애_여,간장애_남,간장애_여,안면장애_남,안면장애_여,장루요루장애_남,장루요루장애_여,뇌전증장애_남,뇌전증장애_여
2024,서울 Seoul,87838,68295,24063,16162,36181,30051,2269,951,17112,11002,22123,15339,7470,1495,8246,8068,11525,7698,580,307,1460,520,1902,916,218,177,1958,1201,642,547
2024,부산 Busan,42843,29319,10222,7139,15265,12790,1076,458,7890,5137,10549,7526,2513,590,4126,3977,5140,3512,261,133,624,238,650,298,128,93,770,446,313,230
2024,대구 Daegu,29307,19342,6887,4858,15006,14909,791,321,6861,4474,6981,5001,1663,332,3011,2924,3304,2182,151,71,273,86,519,263,84,59,406,287,175,146
2024,인천 Incheon,40408,25449,8282,5543,15107,13361,1066,428,7326,4789,7688,5503,2156,495,2298,2616,4094,2854,155,104,415,166,542,284,83,64,670,375,196,190
2024,광주 Gwangju,15661,12188,4148,2921,5454,4878,417,190,4624,3238,3768,2770,1053,253,1526,1675,1717,1103,90,34,187,81,302,126,38,28,272,166,134,133
2024,대전 Daejeon,18109,12271,4014,2759,5290,4766,424,206,4310,2979,3856,2908,1193,241,1650,1671,1919,1208,73,47,197,70,272,131,61,24,282,151,141,121
2024,울산 Ulsan,13912,8364,2843,1916,4652,3365,323,129,2936,1969,2637,1965,796,193,714,748,1355,986,94,49,177,61,276,119,51,22,177,105,64,57
2024,세종 Sejong,3509,2179,777,452,937,896,104,27,816,462,636,470,347,69,247,233,320,212,20,7,37,22,55,33,8,3,56,30,16,13
2024,경기 Gyeonggi,155602,102080,33293,21273,49872,42425,3700,1462,31029,19761,30792,22178,10883,2298,9630,10508,16286,10859,795,424,1702,663,2859,1307,395,258,2633,1519,761,663
2024,강원 Gangwon,27774,19619,5269,3825,7842,7115,528,233,5119,3620,4965,3537,970,218,1627,1557,2095,1455,83,41,339,100,408,186,57,42,437,269,126,86
2024,충북 Chungbuk,25297,17833,5144,3516,7275,6944,483,226,6627,4703,4620,3444,1089,242,1835,1796,2167,1481,94,50,255,84,381,163,57,36,393,235,114,110
2024,충남 Chungnam,34873,24965,7186,4767,11642,11172,726,319,7778,5349,5796,4533,1467,339,2665,2577,2661,1752,115,79,372,108,441,183,84,49,542,318,148,130
2024,전북 Jeonbuk,31636,27297,6215,4426,11023,10590,901,400,7595,5341,5884,4799,1110,269,2737,2645,2444,1464,98,49,244,70,377,153,55,71,432,262,203,203
2024,전남 Jeonnam,32941,31235,7230,5622,10035,9837,684,347,7661,5039,5710,4736,1088,227,3007,2527,2627,1573,110,57,318,100,504,182,54,37,452,264,193,154
2024,경북 Gyeongbuk,42245,31277,8472,6345,18313,19649,851,410,10389,6719,8198,6119,1670,359,3760,3418,3601,2305,164,99,439,150,733,298,108,76,564,352,202,151
2024,경남 Gyongnam,50564,34759,9904,6776,14471,14123,1071,446,10093,6779,9296,7052,2621,632,4064,3822,4478,3029,173,105,541,201,701,298,125,80,734,409,227,182
2024,제주 Jeju,7685,5968,2249,1684,3156,3642,295,127,2193,1602,1879,1445,835,174,651,659,1059,619,51,18,151,61,171,65,20,11,137,93,50,68
