관할시군,total_routes,low_floor_routes,low_floor_route_ratio
가평군,58,0,0.0
고양시,569,203,35.67662565905096
과천시,40,20,50.0
광명시,51,32,62.745098039215684
광주시,360,27,7.5
구리시,207,38,18.357487922705314
군포시,86,45,52.32558139534884
김포시,116,15,12.931034482758621
남양주시,528,86,16.28787878787879
동두천시,141,7,4.964539007092199
부천시,188,112,59.57446808510638
성남시,112,18,16.071428571428573
수원시,241,127,52.69709543568465
시흥시,120,5,4.166666666666666
안산시,219,27,12.32876712328767
안성시,154,80,51.94805194805194
안양시,234,66,28.205128205128204
양주시,80,7,8.75
양평군,470,72,15.319148936170212
여주시,2,0,0.0
연천군,81,0,0.0
오산시,93,25,26.881720430107524
용인시,256,8,3.125
의왕시,43,22,51.162790697674424
의정부시,129,24,18.6046511627907
이천시,561,157,27.98573975044563
파주시,193,64,33.160621761658035
평택시,466,131,28.11158798283262
포천시,136,16,11.76470588235294
하남시,72,46,63.888888888888886
화성시,425,130,30.58823529411765
