순번,관할시군,운행업체명,노선번호,노선ID,기점,기점정류장ID,종점,종점정류장ID,저상버스운행유무,데이터기준일자
5789,고양시,고양-보은교통,21,241314001,화정역3호선,218000974,행신역,218000463,N,20230221
5790,고양시,고양-보은교통,20,241314002,화정역3호선,218000974,영흥빌라,218001006,N,20230221
5791,고양시,고양-명보교통,72,241325001,능곡역.능곡시장,218000193,산황동입구,219001083,N,20230221
5792,고양시,고양-관산운수,36,241293003,벽제관지,218001211,오미산주유소,219000101,N,20230221
5793,고양시,고양-관산운수,37,241293004,그린씨티동문아파트,229000473,삼송역8번출구,218001200,N,20230221
5794,고양시,고양-관산운수,58,241293005,동문3차아파트,219000813,빛마루.이비에스,219001076,N,20230221
5795,고양시,고양-관산운수,59,241293006,마을회관,219000293,대화역,219000366,N,20230221
5796,고양시,고양-관산운수,88,241293007,내유동커뮤니티센터,218001347,삼송역8번출구,218001200,N,20230221
5797,고양시,고양-한진교통,60,241294002,소만마을1.2.3단지,218001032,화정역3호선,218001046,N,20230221
5798,고양시,고양-백마운수,38,241295703,둥지마을.베송쥬쥬,219001082,화정역3호선,218001046,N,20230221
5799,고양시,고양-백마운수,50,241295704,필리핀참전비,218000826,일산동구청(중),219000356,N,20230221
5800,고양시,고양-백마운수,10,241295707,약산마을,219000303,빛마루.이비에스,219001075,N,20230221
5801,고양시,고양-백마운수,39,241295708,위시티1단지후문.양일초교,219001031,현대백화점,219000625,N,20230221
5802,고양시,고양-대림교통,65,241298003,서정마을2단지,218001072,화정역3호선,218001046,N,20230221
5803,고양시,고양-대화교통,63,241299001,대화역회차(경유),277104412,장월,219000799,N,20230221
5804,고양시,고양-대화교통,57,241299002,가좌마을.킴스.벽산A516동,219000565,일산동구청(중),219000356,N,20230221
5805,고양시,고양-대화교통,62,241299003,더샵그라비스타.이마트킨텍스점,219000913,송포초교,219000434,N,20230221
5806,고양시,고양-대화교통,056(도촌),241299704,도촌,219000860,백신초교,219000165,N,20230221
5807,고양시,고양-대화교통,056(멱절),241299705,멱절,219001089,백신초교,219000165,N,20230221
5808,고양시,고양-대화교통,056(서촌),241299706,서촌,219000828,백신초교,219000165,N,20230221
5809,고양시,고양-대화교통,61,241299708,GS자이아파트후문,219000951,일산동구청(중),219000356,N,20230221
5810,고양시,고양-동일운수,18,241304002,원당역,218001083,산장아파트,218000906,N,20230221
5811,고양시,고양-동일운수,12,241304005,관산주공아파트,218001049,원당역,218001083,N,20230221
5812,고양시,고양-동일운수,16,241304006,세기마을입구,218000891,화정역3호선,218001046,N,20230221
5813,고양시,고양-동일운수,13,241304707,원당역,218001083,원신4통,218000886,N,20230221
5814,고양시,고양-주원교통,077A,241306001,삼송마을11단지.대학생연합생활관,218001324,지축역,218000952,N,20230221
5815,고양시,고양-주원교통,077B,241306002,삼송역6번출구,218000627,사기막골,218000251,N,20230221
5816,고양시,고양-주원교통,76,241306702,원신동행정복지센터(마을),218000856,세원마을입구,218000214,N,20230221
5817,고양시,고양-주원교통,93,241306703,신원마을1.2단지,218001210,신원마을1.2단지,218001210,N,20230221
5818,고양시,고양-주원교통,94,241306704,삼송역6번출구,218000627,오금동종점,218001164,N,20230221
5819,고양시,고양-자안운수,11,241308701,나루터,218000033,화정역3호선,218001046,N,20230221
5820,고양시,고양-신일산교통,66,241309001,차고지,219000829,냉천초등학교,219000539,N,20230221
5821,고양시,고양-신일산운수,68,241309702,청궁오리집,219000814,일산동구청.퀸타운호텔,219000956,N,20230221
5822,고양시,고양-신일산운수,69,241309703,SK주유소,219000960,능곡역,218000520,N,20230221
5823,고양시,고양-신일산운수,90,241310001,차고지,219000829,하늘마을3단지,219000597,N,20230221
5824,고양시,고양-신일산운수,91,241310002,기점대기(경유),277103897,일산에듀포레푸르지오후문,219001147,N,20230221
5825,고양시,고양-신일산운수,92,241310003,일산에듀포레푸르지오후문,219001147,탄현역2번출구,219000772,N,20230221
5826,고양시,고양-신일산운수,95,241310004,고양종합운동장.일산서구청,219000450,강선마을(중),219000192,N,20230221
5827,고양시,고양-보람운수,32,241312001,화정역3호선,218000974,무원고교,218000086,N,20230221
5828,고양시,고양-보람운수,35,241312008,행신역,218000463,원당역,218000282,N,20230221
5829,고양시,고양-보람운수,30,241312013,강고산,218001026,화정역3번출구,218001359,N,20230221
5830,고양시,고양-보람운수,022A,241312014,마을회관,218001003,행신초등학교,218000089,N,20230221
5831,고양시,고양-보람운수,23,241312015,서정마을6.9단지,218001201,화정역3호선,218000974,N,20230221
5832,고양시,고양-보람운수,024A,241312016,행신역,218000463,원흥역8번출구.방송통신대앞,218000698,N,20230221
5833,고양시,고양-보람운수,024B,241312017,행신역,218000463,원흥역8번출구.방송통신대앞,218000698,N,20230221
5834,고양시,고양-보람운수,022B,241312018,덕은LH1단지.DMC한강숲중흥S클래스,218000600,DMC해링턴플레이스,218001361,N,20230221
5835,고양시,고양-화정교통,27,241313001,화정역4번출구,218001149,2단지관리사무실앞,218000743,N,20230221
5836,고양시,고양-화정교통,28,241313002,화정역4번출구,218001149,달빛마을1단지분수대앞,218000742,N,20230221
5837,고양시,고양-화정교통,029A,241313003,명지병원,218000992,화정역3호선,218001046,N,20230221
