운수사,버스번호,유형,저상버스 대수
강인여객,103 ,간선형,1
강인여객,103 ,간선형,1
강인여객,103-1,간선형,1
강화교통,17 ,간선형,1
강화교통,17 ,간선형,1
강화교통,17 ,간선형,1
강화교통,17 ,간선형,1
강화교통,17 ,간선형,1
강화교통,,좌석간선형,1
강화교통,,좌석간선형,1
강화교통,,좌석간선형,1
강화교통,,좌석간선형,1
강화교통,,좌석간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,70 ,간선형,1
강화교통,71 ,간선형,1
강화교통,71 ,간선형,1
강화교통,71 ,간선형,1
강화교통,71 ,간선형,1
강화교통,71 ,간선형,1
강화교통,71 ,간선형,1
강화교통,71 ,간선형,1
강화교통,71 ,간선형,1
강화교통,71 ,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
검단버스,,간선형,1
대인교통,515 ,지선형,1
대인교통,515 ,지선형,1
대인교통,515-1,지선형,1
대인교통,515-1,지선형,1
대인교통,561 ,지선형,1
대인교통,562 ,지선형,1
대인교통,574 ,지선형,1
대인교통,574 ,지선형,1
대인교통,,간선형,1
대인교통,,간선형,1
대인교통,,간선형,1
대인교통,,간선형,1
대인교통,,간선형,1
대인교통,,간선형,1
대인교통,,간선형,1
대인교통,,간선형,1
도영운수,523 ,지선형,1
도영운수,523 ,지선형,1
도영운수,523 ,지선형,1
도영운수,523 ,지선형,1
도영운수,523 ,지선형,1
도영운수,55 ,간선형,1
도영운수,55 ,간선형,1
도영운수,순환46(구),지선형,1
도영운수,순환46(구),지선형,1
도영운수,순환46(구),지선형,1
도영운수,순환46(구),지선형,1
도영운수,순환46(구),지선형,1
도영운수,순환46(구),지선형,1
동화운수,10 ,간선형,1
동화운수,10 ,간선형,1
동화운수,10 ,간선형,1
동화운수,10 ,간선형,1
동화운수,10 ,간선형,1
동화운수,10 ,간선형,1
동화운수,10 ,간선형,1
동화운수,10 ,간선형,1
동화운수,10 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,2 ,간선형,1
동화운수,,간선형,1
동화운수,,간선형,1
동화운수,,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,45 ,간선형,1
동화운수,급행95,급행간선형,1
동화운수,급행95,급행간선형,1
동화운수,급행95,급행간선형,1
동화운수,급행95,급행간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,42 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,47 ,간선형,1
마니교통,7 ,간선형,1
마니교통,7 ,간선형,1
마니교통,7 ,간선형,1
마니교통,7 ,간선형,1
