C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,C1_OBJ_NM_ENG
시군구별,2633262,00,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Whole Country,전국,명,101,By Administrative District
시군구별,387448,11,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seoul,서울특별시,명,101,By Administrative District
시군구별,5682,11010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jongno-gu,종로구,명,101,By Administrative District
시군구별,5434,11020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jung-gu,중구,명,101,By Administrative District
시군구별,7292,11030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yongsan-gu,용산구,명,101,By Administrative District
시군구별,10889,11040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seong-Dong,성동구,명,101,By Administrative District
시군구별,12096,11050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gwangjin-gu,광진구,명,101,By Administrative District
시군구별,15349,11060,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dongdaemun-gu,동대문구,명,101,By Administrative District
시군구별,20177,11070,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jungnang-gu,중랑구,명,101,By Administrative District
시군구별,17028,11080,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seongbuk-gu,성북구,명,101,By Administrative District
시군구별,16937,11090,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gangbuk-gu,강북구,명,101,By Administrative District
시군구별,15087,11100,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dobong-gu,도봉구,명,101,By Administrative District
시군구별,26118,11110,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Nowon-gu,노원구,명,101,By Administrative District
시군구별,21393,11120,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Eunpyeong-gu,은평구,명,101,By Administrative District
시군구별,11975,11130,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seodaemun-gu,서대문구,명,101,By Administrative District
시군구별,12647,11140,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Mapo-gu,마포구,명,101,By Administrative District
시군구별,17544,11150,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yangcheon-gu,양천구,명,101,By Administrative District
시군구별,28168,11160,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gangseo-gu,강서구,명,101,By Administrative District
시군구별,18817,11170,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Guro-gu,구로구,명,101,By Administrative District
시군구별,11782,11180,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Geumcheon-gu,금천구,명,101,By Administrative District
시군구별,14605,11190,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yeongdeungpo-gu,영등포구,명,101,By Administrative District
시군구별,14103,11200,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dongjak-gu,동작구,명,101,By Administrative District
시군구별,19984,11210,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gwanak-gu,관악구,명,101,By Administrative District
시군구별,10125,11220,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seocho-gu,서초구,명,101,By Administrative District
시군구별,15354,11230,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gangnam-gu,강남구,명,101,By Administrative District
시군구별,20281,11240,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Songpa-gu,송파구,명,101,By Administrative District
시군구별,18581,11250,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gang-Dong,강동구,명,101,By Administrative District
시군구별,175062,21,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Busan,부산광역시,명,101,By Administrative District
시군구별,2515,21010,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Jung-gu,중구,명,101,By Administrative District
시군구별,6593,21020,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Seo-gu,서구,명,101,By Administrative District
시군구별,6058,21030,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dong-gu,동구,명,101,By Administrative District
시군구별,8669,21040,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yeongdo-gu,영도구,명,101,By Administrative District
시군구별,18654,21050,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Busanjin-gu,부산진구,명,101,By Administrative District
시군구별,11797,21060,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Dongnae-gu,동래구,명,101,By Administrative District
시군구별,12698,21070,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Nam-gu,남구,명,101,By Administrative District
시군구별,16088,21080,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Buk-gu,북구,명,101,By Administrative District
시군구별,17424,21090,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Haeundae-gu,해운대구,명,101,By Administrative District
시군구별,17944,21100,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Saha-gu,사하구,명,101,By Administrative District
시군구별,11414,21110,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Geumjeong-gu,금정구,명,101,By Administrative District
시군구별,5220,21120,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gangseo-gu,강서구,명,101,By Administrative District
시군구별,9855,21130,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Yeonje-gu,연제구,명,101,By Administrative District
시군구별,8203,21140,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Suyeong-gu,수영구,명,101,By Administrative District
시군구별,13286,21150,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Sasang-gu,사상구,명,101,By Administrative District
시군구별,8644,21310,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Gijang-gun,기장군,명,101,By Administrative District
시군구별,130288,22,A,Persons,T001,DT_1YL202003E,등록장애인수,등록장애인수(시도/시/군/구),2023,,Daegu,대구광역시,명,101,By Administrative District
