C1_OBJ_NM,DT,C1,PRD_SE,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,UNIT_NM_ENG
행정구역별,9730411,00,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Whole country,전국,명,101,
행정구역별,51325329,00,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Whole country,전국,명,101,
행정구역별,19,00,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Whole country,전국,%,101, 
행정구역별,1733580,11,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Seoul,서울특별시,명,101,
행정구역별,9386034,11,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Seoul,서울특별시,명,101,
행정구역별,18.5,11,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Seoul,서울특별시,%,101, 
행정구역별,28500,11010,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Jongno-gu,종로구,명,101,
행정구역별,139417,11010,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Jongno-gu,종로구,명,101,
행정구역별,20.4,11010,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Jongno-gu,종로구,%,101, 
행정구역별,25525,11020,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Jung-gu,중구,명,101,
행정구역별,121312,11020,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Jung-gu,중구,명,101,
행정구역별,21,11020,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Jung-gu,중구,%,101, 
행정구역별,39239,11030,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Yongsan-gu,용산구,명,101,
행정구역별,213151,11030,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Yongsan-gu,용산구,명,101,
행정구역별,18.4,11030,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Yongsan-gu,용산구,%,101, 
행정구역별,49260,11040,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Seongdong-gu,성동구,명,101,
행정구역별,277361,11040,A,T002,DT_1YL20631,전체인구＜br＞(B),고령인구비율(시도/시/군/구),2023,2024-01-09,Seongdong-gu,성동구,명,101,
행정구역별,17.8,11040,A,T10,DT_1YL20631,고령인구비율＜br＞(A÷B×100),고령인구비율(시도/시/군/구),2023,2024-01-09,Seongdong-gu,성동구,%,101, 
행정구역별,56461,11050,A,T001,DT_1YL20631,65세이상인구＜br＞(A),고령인구비율(시도/시/군/구),2023,2024-01-09,Gwangjin-gu,광진구,명,101,
