C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID
행정구역별,50.14,00,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Whole country,전국,%,101
행정구역별,45.02,00,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Whole country,전국,%,101
행정구역별,81.2,11,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2023-05-11,Seoul,서울특별시,%,101
행정구역별,75.37,11,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Seoul,서울특별시,%,101
행정구역별,50.26,11010,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Jongno-gu,종로구,%,101
행정구역별,46.74,11010,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Jongno-gu,종로구,%,101
행정구역별,64.2,11020,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2023-05-11,Jung-gu,중구,%,101
행정구역별,55.83,11020,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Jung-gu,중구,%,101
행정구역별,49.24,11030,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Yongsan-gu,용산구,%,101
행정구역별,41.67,11030,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Yongsan-gu,용산구,%,101
행정구역별,40.69,11040,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Seongdong-gu,성동구,%,101
행정구역별,34.54,11040,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2026-05-11,Seongdong-gu,성동구,%,101
행정구역별,33.1,11050,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2023-05-11,Gwangjin-gu,광진구,%,101
행정구역별,26.1,11050,A,%,T20,DT_1YL20921,재정자립도(세입과목개편후),재정자립도(시도/시/군/구),2023,2023-05-11,Gwangjin-gu,광진구,%,101
행정구역별,28.15,11060,A,%,T10,DT_1YL20921,재정자립도(세입과목개편전),재정자립도(시도/시/군/구),2023,2026-05-11,Dongdaemun-gu,동대문구,%,101
