연도,지역,자치단체,세부사업명,예산현액,국비,시도비,시군구비,지출액,집행잔액
2022,서울,본청,저상버스 도입,53949500000,22109720000,31839780000,0,45074420000,8875080000
2022,서울,본청,저상버스 도입(시비),2428800000,0,2428800000,0,2428800000,0
2022,부산,본청,저상버스 도입보조,17169000000,8584500000,8584500000,0,11479000000,5690000000
2022,부산,본청,무가선 저상트램 실증사업(국가직접지원),7000000000,0,0,0,0,7000000000
2022,대구,본청,저상버스 도입,9390332000,2990000000,6400332000,0,8628115150,762216850
2022,인천,본청,저상버스 도입보조,6436000000,3218000000,3218000000,0,4508000000,1928000000
2022,광주,본청,저상버스도입(보조),5342000000,2346000000,2996000000,0,4232000000,1110000000
2022,광주,본청,저상버스도입(자체),2280000,0,2280000,0,1246400,1033600
2022,대전,본청,저상버스 구입 보조,8372000000,4186000000,4186000000,0,5888000000,2484000000
2022,울산,본청,저상버스 구입 보조,1196000000,598000000,598000000,0,1196000000,0
2022,세종,본청,저상버스 도입,2116000000,1058000000,1058000000,0,1472000000,644000000
2022,경기,본청,2층 저상버스 보급 지원(국비/지원),1242000000,828000000,414000000,0,1242000000,0
2022,경기,본청,저상버스 구입비 지원(국비/지원),47931425000,41679500000,6251925000,0,47931425000,0
2022,경기,본청,저상버스 운영비 지원(자체/지원),1537000000,0,1537000000,0,1155250000,381750000
2022,경기,수원시,저상버스 도입(국비),9236000000,4618000000,692700000,3925300000,7084000000,2152000000
2022,경기,수원시,저상버스 운영비 지원(도비),1280000000,0,128000000,1152000000,955000000,325000000
2022,경기,성남시,저상버스 도입보조,9016000000,4508000000,676200000,3831800000,7544000000,1472000000
2022,경기,성남시,저상버스 운영지원,465000000,0,46500000,418500000,362500000,102500000
2022,경기,고양시,저상버스 도입 보조 지원,5261000000,2438000000,481200000,2341800000,4902500000,358500000
2022,경기,용인시,2층 저상버스 보급 지원,1012000000,506000000,253000000,253000000,1012000000,0
2022,경기,용인시,저상버스 도입보조,2208000000,1104000000,165600000,938400000,2208000000,0
2022,경기,용인시,저상버스 운영비 지원사업,150000000,0,15000000,135000000,147500000,2500000
2022,경기,부천시,저상버스 도입보조,11451000000,5725500000,858825000,4866675000,11132000000,319000000
2022,경기,부천시,저상버스 운영지원,1005000000,0,301500000,703500000,890000000,115000000
2022,경기,안산시,저상버스도입지원,3540000000,1770000000,265500000,1504500000,368000000,3172000000
2022,경기,안양시,저상버스 도입보조,3029000000,1514500000,227175000,1287325000,3029000000,0
2022,경기,안양시,저상버스 운영보조,350000000,0,105000000,245000000,350000000,0
2022,경기,남양주시,저상버스 도입비 지원,2300000000,1150000000,172500000,977500000,2024000000,276000000
2022,경기,남양주시,저상버스 운영비 지원,235000000,0,94000000,141000000,120000000,115000000
2022,경기,화성시,2층 저상버스 보급 지원,1380000000,690000000,345000000,345000000,1380000000,0
2022,경기,화성시,저상버스 구입비 지원,4232000000,2116000000,317400000,1798600000,3128000000,1104000000
2022,경기,화성시,저상버스 운영비 지원,185000000,0,18500000,166500000,95000000,90000000
2022,경기,평택시,저상버스 구입비 지원(국비),3680000000,1840000000,276000000,1564000000,3680000000,0
2022,경기,평택시,저상버스 운영지원(도비),215000000,0,43000000,172000000,77500000,137500000
2022,경기,시흥시,저상버스 도입,920000000,460000000,69000000,391000000,920000000,0
2022,경기,시흥시,저상버스 운영 지원,90000000,0,18000000,72000000,62500000,27500000
2022,경기,파주시,저상버스 구입 보조,4876000000,2438000000,365700000,2072300000,4876000000,0
2022,경기,파주시,저상버스 운영 지원,360000000,0,144000000,216000000,217500000,142500000
2022,경기,광명시,저상버스 구입비 지원,6195000000,3097500000,464625000,2632875000,5275000000,920000000
2022,경기,광명시,저상버스 운영비 지원,10000000,0,3000000,7000000,10000000,0
2022,경기,김포시,저상버스 도입보조,1840000000,920000000,138000000,782000000,1380000000,460000000
2022,경기,김포시,저상버스 운영비 지원,250000000,0,50000000,200000000,205000000,45000000
2022,경기,군포시,저상버스 구입비 지원(국도시),2442000000,1221000000,183150000,1037850000,2411100000,30900000
2022,경기,광주시,저상버스 도입·운영비,450000000,0,180000000,270000000,337500000,112500000
2022,경기,이천시,저상버스 구입비 지원(보조),920000000,460000000,69000000,391000000,920000000,0
2022,경기,양주시,저상버스 구입비 지원,1932000000,966000000,144900000,821100000,1012000000,920000000
2022,경기,양주시,저상버스 운영비 지원,105000000,0,42000000,63000000,85000000,20000000
2022,경기,오산시,저상버스 도입 지원비,2760000000,1380000000,207000000,1173000000,2760000000,0
2022,경기,오산시,저상버스 운영비 지원,10000000,0,3000000,7000000,10000000,0
2022,경기,구리시,저상버스 구입비 지원,1196000000,598000000,89700000,508300000,975200000,220800000
2022,경기,구리시,저상버스 운영비 지원사업,65000000,0,19500000,45500000,15000000,50000000
2022,경기,안성시,저상버스 도입 보조,1472000000,736000000,110400000,625600000,1472000000,0
2022,경기,안성시,저상버스 운영 지원금,25000000,0,10000000,15000000,25000000,0
2022,경기,포천시,2층 저상버스 보급 지원 사업,0,0,0,0,0,0
2022,경기,포천시,저상버스 도입 보조,255000000,127500000,19125000,108375000,0,255000000
2022,경기,포천시,저상버스 운영 지원,105000000,0,52500000,52500000,97500000,7500000
2022,경기,의왕시,저상버스 구입비 지원,2024000000,1012000000,151800000,860200000,1748000000,276000000
2022,경기,여주시,저상버스 도입 지원사업,276000000,138000000,20700000,117300000,276000000,0
2022,경기,과천시,저상버스 구입비 지원(국비),276000000,138000000,20700000,117300000,184000000,92000000
2022,경기,양평군,저상버스 구입비 지원(보조),368000000,184000000,27600000,156400000,0,368000000
2022,강원,본청,저상버스 도입보조(국고),1062750000,817500000,245250000,0,1062750000,0
2022,강원,춘천시,저상버스 도입지원,2409600000,368000000,110400000,1931200000,903012660,1506587340
2022,강원,강릉시,저상버스 도입지원,920000000,460000000,138000000,322000000,920000000,0
2022,강원,속초시,저상버스 도입보조사업,0,0,0,0,0,0
2022,강원,삼척시,저상버스 도입보조,126000000,0,0,126000000,126000000,0
2022,강원,삼척시,저상버스 도입보조(국고),184000000,92000000,27600000,64400000,184000000,0
2022,충북,본청,저상버스 도입보조,2892200000,1104000000,1788200000,0,2892200000,0
2022,충북,청주시,저상버스도입 보조,828000000,414000000,207000000,207000000,644000000,184000000
2022,충북,충주시,수소저상버스 구입지원(국토부),2712800000,184000000,1264400000,1264400000,1726621110,986178890
2022,충북,충주시,수소저상버스 구입지원(환경부),600000000,600000000,0,0,358209780,241790220
2022,충남,본청,저상버스 도입 지원,1564000000,1564000000,0,0,1564000000,0
2022,충남,천안시,저상버스 구입비 보조,1995000000,690000000,0,1305000000,1905000000,90000000
2022,충남,공주시,전기저상버스 도입지원(국토교통부),184000000,92000000,0,92000000,0,184000000
2022,충남,공주시,전기저상버스 도입지원(환경부),564000000,210000000,150000000,204000000,0,564000000
2022,충남,보령시,저상버스 구입,446000000,223000000,0,223000000,357499500,88500500
2022,충남,아산시,저상버스 도입운영,1495000000,590000000,0,905000000,732165740,762834260
2022,충남,서산시,"시내버스(공영, 저상) 도입 지원",376785000,0,44776000,332009000,166785000,210000000
2022,충남,계룡시,시내버스 대폐차(저상버스) 보조금 지원사업,184000000,92000000,0,92000000,184000000,0
2022,충남,당진시,저상버스 도입 지원,679206000,184000000,0,495206000,665543970,13662030
2022,전북,본청,저상버스 도입비 지원,2659500000,1773000000,886500000,0,2659500000,0
2022,전북,본청,저상버스 운영비 지원,300000000,0,300000000,0,300000000,0
2022,전북,전주시,교통약자 저상버스 운영,620000000,0,195000000,425000000,590862700,29137300
2022,전북,전주시,저상버스 도입보조,2635200000,1317600000,658800000,658800000,1113200000,1522000000
2022,전북,전주시,저상버스 승강장 시설개선,141000000,0,36000000,105000000,139989020,1010980
2022,전북,군산시,교통약자 이동편의 증진사업(저상버스 운영),195000000,0,54000000,141000000,194438000,562000
2022,전북,군산시,저상버스 도입보조,828000000,414000000,207000000,207000000,736000000,92000000
2022,전북,군산시,저상버스 승강장 시설개선 사업,120000000,0,36000000,84000000,116822220,3177780
2022,전북,익산시,저상버스 운영비 지원,160000000,0,48000000,112000000,160000000,0
2022,전북,익산시,저상버스도입 보조,276000000,138000000,69000000,69000000,92000000,184000000
2022,전북,김제시,저상버스 도입보조(보조),276000000,138000000,69000000,69000000,0,276000000
2022,전북,완주군,저상버스 승강장 개선,30000000,0,9000000,21000000,0,30000000
2022,전북,부안군,저상버스 지원,120000000,0,0,120000000,120000000,0
2022,전남,본청,교통약자용 저상버스 구입,2675250000,1783500000,891750000,0,2675250000,0
2022,전남,목포시,저상버스 도입 보조사업,432000000,0,0,432000000,426000000,6000000
2022,전남,여수시,저상버스 구입,920000000,460000000,230000000,230000000,552000000,368000000
2022,전남,순천시,교통약자용 저상버스 구입,1303500000,736000000,368000000,199500000,406500000,897000000
2022,전남,나주시,중형 저상버스 도입 지원사업(국토부),425000000,212500000,106250000,106250000,0,425000000
2022,전남,광양시,저상버스 구입 및 운영 지원,959000000,449500000,224750000,284750000,888000000,71000000
2022,전남,구례군,저상버스 구입 지원,0,0,0,0,0,0
2022,전남,영광군,저상버스 도입지원,258000000,92000000,46000000,120000000,0,258000000
2022,경북,본청,교통약자를위한저상버스구입지원,2083900000,1603000000,480900000,0,2024100000,59800000
2022,경북,포항시,교통약자를위한 저상버스 구입지원<보조>,1840000000,920000000,276000000,644000000,1840000000,0
2022,경북,경주시,교통약자를 위한 저상버스 구입지원,368000000,92000000,27600000,248400000,368000000,0
2022,경북,경주시,저상버스운영비지원,120000000,0,36000000,84000000,120000000,0
2022,경북,김천시,저상버스 운영지원,135000000,0,40500000,94500000,135000000,0
2022,경북,안동시,[도]저상버스운영비지원,75000000,0,22500000,52500000,75000000,0
2022,경북,구미시,저상버스도입보조,184000000,92000000,27600000,64400000,92000000,92000000
2022,경북,영주시,(국)교통약자를 위한 저상버스 구입지원,188186000,88000000,30056000,70130000,0,188186000
2022,경북,영천시,국)교통약자를위한저상버스구입지원,1528000000,368000000,110400000,1049600000,1528000000,0
2022,경북,상주시,[국]교통약자를위한저상버스구입지원,170000000,85000000,25500000,59500000,78000000,92000000
2022,경북,상주시,[국]저상버스 구입지원,94093000,44000000,15028000,35065000,94093000,0
2022,경북,문경시,[국비]저상버스 구입지원,94093000,44000000,15028000,35065000,0,94093000
2022,경북,경산시,(국비보조)교통약자를 위한 저상버스 구입지원,92000000,46000000,13800000,32200000,92000000,0
2022,경북,경산시,(도비보조)저상버스 운영비 지원,180000000,0,54000000,126000000,180000000,0
2022,경남,본청,저상버스 운영손실보상금 지원,413700000,0,413700000,0,413700000,0
2022,경남,진주시,저상버스 구입지원,2576000000,1288000000,644000000,644000000,2392000000,184000000
2022,경남,진주시,저상버스 재정지원,49000000,0,14700000,34300000,49000000,0
2022,경남,통영시,저상버스 운영손실금 보조,260000000,0,27300000,232700000,260000000,0
2022,경남,사천시,저상버스(전기차) 구입 지원,460000000,230000000,115000000,115000000,460000000,0
2022,경남,김해시,저상버스 운영,2379904000,1012000000,629078000,738826000,2329349000,50555000
2022,경남,밀양시,저상버스 도입운영,42000000,0,12600000,29400000,42000000,0
2022,경남,거제시,내도 해저상수관로 재해복구사업,73722000,36861000,14744000,22117000,8900000,64822000
2022,경남,거제시,저상버스 운영손실금 지원,7507000,0,6300000,1207000,7506840,160
2022,경남,거제시,지심도 해저상수관로 재해복구사업,214769000,107384000,42954000,64431000,0,214769000
2022,경남,양산시,저상버스 도입보조,1472000000,736000000,368000000,368000000,1472000000,0
2022,경남,양산시,저상버스 운영손실금 보조,168000000,0,50400000,117600000,168000000,0
2022,경남,함안군,전기 저상버스 구입비 지원,184000000,92000000,46000000,46000000,170000000,14000000
2022,경남,창녕군,저상버스 운영비 지원,0,0,0,0,0,0
2022,경남,거창군,전기저상 공영버스 구입(대폐차),1239000000,307800000,100212500,830987500,870260000,368740000
2022,제주,본청,저상버스 도입 지원,4104000000,1104000000,0,0,1567920000,2536080000
2023,서울,본청,저상버스 도입,74009200000,29560272000,44448928000,0,40382600000,33626600000
2023,부산,본청,저상버스 도입보조,28747000000,14373500000,14373500000,0,16992000000,11755000000
2023,부산,본청,무가선 저상트램 실증사업(국가직접지원),7000000000,0,0,0,7000000000,0
2023,대구,본청,저상버스 도입,14870216000,5704000000,9166216000,0,9781355330,5088860670
2023,인천,본청,저상버스 도입보조,18186000000,9093000000,9093000000,0,9752000000,8434000000
2023,광주,본청,저상버스도입(보조),9169000000,4140000000,5029000000,0,8466350000,702650000
2023,광주,본청,저상버스도입(자체),2020000,0,2020000,0,1516000,504000
2023,대전,본청,저상버스 구입 보조,7630000000,3815000000,3815000000,0,5182000000,2448000000
2023,울산,본청,저상버스 구입 보조,4232000000,2116000000,2116000000,0,2116000000,2116000000
2023,세종,본청,저상버스 도입,6900000000,3450000000,3450000000,0,2576000000,4324000000
