region,city_bus_low,city_bus_rate,rural_bus_low,rural_bus_rate,village_bus_low,village_bus_rate,total_low,total_rate
서울특별시,4926,66.7,0,0.0,161,10.3,5087,56.8
부산광역시,917,36.4,0,0.0,6,1.1,923,29.9
대구광역시,728,46.5,0,0.0,0,0.0,728,46.1
인천광역시,412,18.8,0,0.0,0,0.0,412,18.6
광주광역시,394,37.7,0,0.0,0,0.0,394,34.8
대전광역시,412,39.7,0,0.0,0,0.0,412,39.0
울산광역시,127,14.6,0,0.0,0,0.0,127,13.8
세종특별자치시,123,46.4,0,0.0,0,0.0,123,41.3
경기도,3442,32.1,10,7.1,727,26.6,4179,30.7
강원특별자치도,204,41.9,15,7.4,0,0.0,219,26.1
충청북도,217,33.3,4,1.9,0,0.0,221,25.4
충청남도,196,21.7,2,0.8,0,0.0,198,16.5
전라북도,259,30.5,4,2.7,0,0.0,263,24.8
전라남도,137,20.3,13,2.2,0,0.0,150,11.5
경상북도,277,22.7,1,0.4,0,0.0,278,18.0
경상남도,672,37.9,17,7.4,3,2.8,692,32.8
제주특별자치도,157,18.9,0,0.0,2,5.1,159,18.3
