연도,시도,지체장애_남,지체장애_여,시각장애_남,시각장애_여,청각장애_남,청각장애_여,언어장애_남,언어장애_여,지적장애_남,지적장애_여,뇌병변장애_남,뇌병변장애_여,자폐성장애_남,자폐성장애_여,정신장애_남,정신장애_여,신장장애_남,신장장애_여,심장장애_남,심장장애_여,호흡기장애_남,호흡기장애_여,간장애_남,간장애_여,안면장애_남,안면장애_여,장루요루장애_남,장루요루장애_여,뇌전증장애_남,뇌전증장애_여
2015,서울 Seoul,110203,84640,25902,16631,22174,17424,2177,837,15172,9514,25438,17388,4083,678,8338,7605,8606,6245,846,499,1575,581,1563,629,230,192,1735,1054,697,589
2015,부산 Busan,50848,34436,10974,7270,7810,6037,878,335,6436,4075,11667,8145,1198,219,4166,3757,3408,2538,336,181,739,254,432,170,145,96,627,368,299,240
2015,대구 Daegu,33769,22544,7262,4936,6033,5284,758,244,5412,3570,7646,5412,824,147,3087,2834,2169,1587,148,103,350,99,335,137,80,56,340,246,163,119
2015,인천 Incheon,44581,27100,8341,5359,7166,5833,862,302,5605,3577,7401,5393,948,173,2207,2277,2517,1899,136,88,463,192,366,158,73,59,447,285,211,172
2015,광주 Gwangju,17955,14516,4321,2955,4326,3762,370,148,3442,2498,3824,3047,535,123,1418,1503,1131,803,82,47,231,79,218,78,37,26,213,128,141,122
2015,대전 Daejeon,20929,14487,4323,2893,3946,3213,371,142,3326,2299,4206,3355,694,126,1481,1450,1268,916,86,55,250,83,190,80,58,25,240,139,143,116
2015,울산 Ulsan,15636,9396,2948,2053,3644,2428,228,101,2298,1509,2690,2038,385,74,665,680,835,681,122,71,155,57,186,63,49,24,114,87,53,56
2015,세종 Sejong,2773,1942,547,370,494,456,55,12,512,293,434,316,56,11,210,195,124,91,14,4,33,15,22,12,6,3,29,21,16,13
2015,경기 Gyeonggi,161385,107283,31384,19484,26354,20815,2729,1043,23398,14805,30136,22197,4614,746,8747,9041,9887,7398,862,490,1739,684,1867,734,346,235,1903,1175,766,635
2015,강원 Gangwon,30784,21707,5419,3989,5902,4798,509,206,4523,3175,5471,3855,456,89,1636,1437,1318,1004,90,52,529,117,227,103,48,38,373,211,156,102
2015,충북 Chungbuk,27385,20341,5318,3661,5227,4511,444,185,5540,3887,4840,3811,496,82,1972,1747,1341,995,113,55,282,84,232,83,51,35,363,210,122,123
