회계연도,지출목,지출세목,중앙관서,회계,계정,분야,부문,프로그램,단위사업,세부사업,내역사업,예산현액(천원),교부액(천원),집행액(천원),교부율(%25),집행률(%25)
"2023","민간이전","민간경상보조","개인정보보호위원회","일반회계"," ","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","개인정보보호정책지원","자율보호제도운영(보안서버 구축 모니터링)","350000","350000","349596","100.0","99.9"
"2023","민간이전","민간경상보조","경찰청","일반회계"," ","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","경무인사지원","수사교통민원 보조활동","1918000","1918000","1607373","100.0","83.8"
"2023","민간이전","민간경상보조","경찰청","일반회계"," ","공공질서및안전","경찰","경찰행정지원","경찰복지증진","경찰복지증진","직장어린이집 운영지원","0","0","0","0","0"
"2023","민간이전","민간경상보조","고용노동부","고등·평생교육지원특별회계"," ","사회복지","고용","직업능력개발","한국폴리텍대학출연","한국폴리텍대학운영지원(BTL정부지급금)","한국폴리텍대학운영지원(BTL)","11066000","11065008","11065008","100.0","100.0"
"2023","민간이전","민간경상보조","고용노동부","고등·평생교육지원특별회계"," ","사회복지","고용","직업능력개발","한국기술교육대학교출연","한국기술교육대학교운영지원(BTL정부지급금)","한국기술교육대학교운영지원(BTL)","1036000","1035220","1035220","99.9","100.0"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용창출","고용서비스지원","외국인노동자지원센터지원","외국인노동자지원센터지원","7108000","7025617","6960354","98.8","99.1"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용창출","고용보험징수관리","고용보험적용부과지원","보험사무대행기관지원금","14843000","14843000","14005895","100.0","94.4"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","사업주능력개발지원금","사업주직업훈련지원금","현장맞춤형체계적훈련","4257000","4257000","4125575","100.0","96.9"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","대중소 공동훈련지원","77571000","77571000","68492067","100.0","88.3"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","KDigital platform","25000000","25000000","23532255","100.0","94.1"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","산업전환 공동훈련센터","18750000","18750000","18172750","100.0","96.9"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","지역산업맞춤형훈련","18000000","18000000","14413718","100.0","80.1"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","중소기업능력개발지원","국가인적자원개발컨소시엄지원","산업계 주도 청년맞춤형 훈련","3200000","3200000","1642525","100.0","51.3"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국산업인력공단능력개발사업지원","산업현장일학습병행지원","일학습병행 공동훈련센터","76955000","76955000","62986787","100.0","81.8"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","직업능력개발","한국폴리텍대학능력개발사업지원","기능인력양성및장비확충(폴리텍)","기능인력양성및장비확충(폴리텍)","4626000","3800000","3399319","82.1","89.5"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일·가정양립지원","고용안정장려금","출산육아기 고용안정 지원(대체인력뱅크)","1440000","1439690","1433476","100.0","99.6"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일·가정양립지원","직장어린이집지원","직장어린이집지원","13354000","12165800","10073063","91.1","82.8"
"2023","민간이전","민간경상보조","고용노동부","고용보험기금"," ","사회복지","고용","고용평등증진","일터혁신컨설팅지원","일터혁신 지원","일터혁신컨설팅지원(총괄관리)","470000","470000","469907","100.0","100.0"
"2023","민간이전","민간경상보조","고용노동부","산업재해보상보험및예방기금"," ","사회복지","노동","산재보험","산재보험료징수관리","산재보험 적용부과지원","산재보험적용부과지원","12772000","12772000","12771970","100.0","100.0"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(민경보)","31050000","30994000","30593330","99.8","98.7"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","고용지원인프라운영","청년고용지원인프라 운영","대학일자리플러스센터(청년도약보장패키지)","7181000","7178800","7102735","100.0","98.9"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","해외취업지원","해외 K-Move 센터 운영","4050000","4050000","3632693","100.0","89.7"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","해외취업지원","글로벌취업상담회","400000","400000","357246","100.0","89.3"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년취업진로 및 일경험 지원","청년친화형 기업 ESG 지원사업","24000000","24000000","22302018","100.0","92.9"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년취업진로 및 일경험 지원","청년 일경험 지원 ","50650000","48813893","39063038","96.4","80.0"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","청년진로및취업지원(일반)","청년취업진로 및 일경험 지원","청년일경험지원","0","0","0","0","0"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용창출","취약계층취업촉진","경력단절여성취업지원","집단상담프로그램운영(민간새일센터)","8831000","8718267","8501716","98.7","97.5"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","직업능력개발","실업자등능력개발지원","미래유망분야 고졸인력 양성","미래유망분야 고졸인력 양성","6678000","6678000","6651526","100.0","99.6"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","직업능력개발","고용보험 미적용자등 능력개발지원","고용보험 미적용자등 능력개발지원","고용보험 미적용자등 능력개발지원","289000","289000","275507","100.0","95.3"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","직업능력개발","한국폴리텍대학출연","한국폴리텍대학운영지원(BTL 정부지급금)","한국폴리텍대학운영지원(BTL정부지급금)","0","0","0","0","0"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","직업능력개발","한국기술교육대학교출연","한국기술교육대학교운영지원(BTL정부지급금)","한국기술교육대학교운영지원(BTL정부지급금)","0","0","0","0","0"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용안전망확충","일자리안정자금지원","일자리안정자금지원","일자리안정자금지원","1103000","1103000","63550","100.0","5.8"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용안전망확충","코로나19 가족돌봄비용 긴급지원","코로나19 가족돌봄비용 긴급지원","코로나19 가족돌봄비용 긴급지원","1838","1363","1363","74.1","100.0"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","고용평등환경개선","고용평등환경개선지원","고용평등상담실 운영","1215000","1215000","1210334","100.0","99.6"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","모성보호육아지원","고용보험 미적용자 출산급여","고용보험 미적용자 출산급여(고용부)","15202000","15190300","15190300","99.9","100.0"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","중장년층취업지원","중장년층취업지원","고령자인재은행","3361975","3268298","3177125","97.2","97.2"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","중장년층취업지원","중장년층취업지원","중장년내일센터","14154000","14154000","13419858","100.0","94.8"
"2023","민간이전","민간경상보조","고용노동부","일반회계"," ","사회복지","고용","고용평등증진","중장년층취업지원","중장년층취업지원","재취업지원서비스 시행지원","4405000","4405000","4353759","100.0","98.8"
