region,city_bus_low,city_bus_rate,rural_bus_low,rural_bus_rate,village_bus_low,village_bus_rate,total_low,total_rate,key,total_pop,disabled_pop,elderly_rate,fiscal_rate,disabled_rate,vulnerable_rate
서울특별시,4926,66.7,0,0.0,161,10.3,5087,56.8,서울,9386034.0,387448,18.5,81.2,4.127920269626127,22.627920269626127
부산광역시,917,36.4,0,0.0,6,1.1,923,29.9,부산,359508.0,18654,22.1,53.16,5.188757969224607,27.28875796922461
대구광역시,728,46.5,0,0.0,0,0.0,728,46.1,대구,2374960.0,130288,19.6,32.1,5.48590292047024,25.08590292047024
인천광역시,412,18.8,0,0.0,0,0.0,412,18.6,인천,2997410.0,151782,16.6,59.63,5.063771722920788,21.66377172292079
광주광역시,394,37.7,0,0.0,0,0.0,394,34.8,광주,391377.0,17452,16.4,46.19,4.459127644189618,20.859127644189616
대전광역시,412,39.7,0,0.0,0,0.0,412,39.0,대전,1442216.0,71342,17.0,46.41,4.946693144438836,21.946693144438836
울산광역시,127,14.6,0,0.0,0,0.0,127,13.8,울산,1103661.0,51210,15.9,56.64,4.64001174273622,20.54001174273622
세종특별자치시,123,46.4,0,0.0,0,0.0,123,41.3,세종,386525.0,12908,11.0,69.74,3.3394993855507407,14.339499385550742
경기도,3442,32.1,10,7.1,727,26.6,4179,30.7,경기,13630821.0,583750,15.6,65.69,4.282574028372905,19.882574028372904
강원특별자치도,204,41.9,15,7.4,0,0.0,219,26.1,강원,1527807.0,100321,24.0,29.43,6.566339858372164,30.566339858372164
충청북도,217,33.3,4,1.9,0,0.0,221,25.4,충북,1593469.0,96884,20.8,36.23,6.080068077885419,26.88006807788542
충청남도,196,21.7,2,0.8,0,0.0,198,16.5,충남,2130119.0,133686,21.3,37.9,6.27598739788716,27.57598739788716
전라북도,259,30.5,4,2.7,0,0.0,263,24.8,전북,1754757.0,129964,24.1,27.88,7.406381624350267,31.50638162435027
전라남도,137,20.3,13,2.2,0,0.0,150,11.5,전남,1804217.0,136269,26.1,28.67,7.552805455219633,33.652805455219635
경상북도,277,22.7,1,0.4,0,0.0,278,18.0,경북,2554324.0,177997,24.7,29.71,6.9684581908951255,31.668458190895123
경상남도,672,37.9,17,7.4,3,2.8,692,32.8,경남,3251158.0,188250,20.6,38.81,5.790244583622204,26.390244583622206
제주특별자치도,157,18.9,0,0.0,2,5.1,159,18.3,제주,675252.0,36899,17.9,36.86,5.464478446565134,23.364478446565133
