region,city_bus_low,city_bus_rate,rural_bus_low,rural_bus_rate,village_bus_low,village_bus_rate,total_low,total_rate,region_clean,disabled_pop,elderly_rate,fiscal_rate
서울특별시,4926,66.7,0,0.0,161,10.3,5087,56.8,서울,387448.0,18.5,81.2
부산광역시,917,36.4,0,0.0,6,1.1,923,29.9,부산,175062.0,22.6,53.16
대구광역시,728,46.5,0,0.0,0,0.0,728,46.1,대구,130288.0,19.6,52.28
인천광역시,412,18.8,0,0.0,0,0.0,412,18.6,인천,151782.0,16.6,59.63
광주광역시,394,37.7,0,0.0,0,0.0,394,34.8,광주,69202.0,16.5,46.19
대전광역시,412,39.7,0,0.0,0,0.0,412,39.0,대전,71342.0,17.0,46.41
울산광역시,127,14.6,0,0.0,0,0.0,127,13.8,울산,51210.0,15.9,56.64
세종특별자치시,123,46.4,0,0.0,0,0.0,123,41.3,세종,12908.0,11.0,69.74
경기도,3442,32.1,10,7.1,727,26.6,4179,30.7,경기,583750.0,15.6,65.69
강원특별자치도,204,41.9,15,7.4,0,0.0,219,26.1,강원,100321.0,24.0,29.43
충청북도,217,33.3,4,1.9,0,0.0,221,25.4,충청북,96884.0,20.8,36.23
충청남도,196,21.7,2,0.8,0,0.0,198,16.5,충청남,133686.0,21.3,37.9
전라북도,259,30.5,4,2.7,0,0.0,263,24.8,전라북,,,
전라남도,137,20.3,13,2.2,0,0.0,150,11.5,전라남,136269.0,26.1,28.67
경상북도,277,22.7,1,0.4,0,0.0,278,18.0,경상북,177997.0,24.7,29.71
경상남도,672,37.9,17,7.4,3,2.8,692,32.8,경상남,188250.0,20.6,38.81
제주특별자치도,157,18.9,0,0.0,2,5.1,159,18.3,제주,,17.9,36.86
